TILGANG1,TILGANG2,ANVENDELSE,TID,Xt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2013,4277.5973653703
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2014,5207.970142792786
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2015,5683.239859075549
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2016,4581.336709107102
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2017,5611.223654203555
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2018,4453.631991044096
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2019,5324.572660146117
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2020,5604.357999999999
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2021,5089.357
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2022,5475.000272728156
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1967,44352.25324136804
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1968,44088.47393080113
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1969,44065.48484996815
